Wavelength_(nm),Intensity4_(Counts),Intensity10_(Counts),Intensity30_(Counts),Intensity50_(Counts),Intensity70_(Counts),Intensity90_(Counts),Intensity110_(Counts),Intensity130_(Counts)
187.928,4.62,7.5,-8.38,3.62,4.19,-3,1.25,-4.62
188.405,4.62,7.5,-8.38,3.62,4.19,-3,1.25,-4.62
188.882,4.62,7.5,-8.38,3.62,4.19,-3,1.25,-4.62
189.359,-12.38,-7.5,-5.38,-4.38,-9.81,-5,-4.75,-17.62
189.835,22.62,10.5,13.62,10.62,13.19,20,7.25,23.38
190.312,8.62,-13.5,-18.38,4.62,-12.81,-2,-4.75,3.38
190.789,-17.38,-8.5,-17.38,-9.38,-7.81,-6,4.25,-14.62
191.265,-26.38,-15.5,-7.38,-27.38,-17.81,-3,-22.75,-20.62
191.742,14.62,2.5,17.62,12.62,3.19,-5,16.25,12.38
192.219,-13.38,9.5,-4.38,10.62,-1.81,-11,2.25,12.38
192.695,-12.38,5.5,2.62,-2.38,-3.81,9,-3.75,3.38
193.172,6.62,7.5,2.62,12.62,20.19,17,6.25,3.38
193.648,13.62,8.5,10.62,-3.38,-1.81,11,3.25,8.38
194.125,26.62,9.5,-0.38,16.62,-6.81,-2,6.25,16.38
194.601,2.62,1.5,-10.38,-10.38,0.19,-6,-5.75,-11.62
195.077,-14.38,-13.5,2.62,-19.38,8.19,-19,-7.75,-17.62
195.554,3.62,7.5,22.62,-5.38,14.19,4,3.25,-1.62
196.03,-7.38,-11.5,-0.38,10.62,-0.81,1,-0.75,5.38
196.506,18.62,21.5,3.62,22.62,11.19,10,27.25,13.38
196.983,15.62,24.5,7.62,26.62,27.19,18,17.25,19.38
197.459,-1.38,-7.5,2.62,-9.38,3.19,-19,-0.75,-9.62
197.935,21.62,8.5,6.62,8.62,13.19,4,-6.75,17.38
198.411,4.62,-1.5,6.62,13.62,7.19,-2,-0.75,-8.62
198.887,-5.38,-7.5,-0.38,-18.38,-4.81,-12,-15.75,-8.62
199.363,5.62,4.5,8.62,4.62,-2.81,-19,-11.75,5.38
199.839,-6.38,-3.5,-5.38,-0.38,-16.81,1,-5.75,4.38
200.315,-1.38,-6.5,-9.38,-6.38,4.19,-10,0.25,-10.62
200.791,-13.38,3.5,4.62,-4.38,-8.81,5,0.25,-2.62
201.267,31.62,9.5,24.62,8.62,13.19,12,12.25,22.38
201.743,24.62,8.5,2.62,20.62,11.19,2,18.25,13.38
202.219,1.62,-10.5,-11.38,-8.38,-10.81,-8,0.25,-9.62
202.695,-1.38,0.5,-9.38,-12.38,13.19,-12,-11.75,-9.62
203.171,-4.38,-9.5,-11.38,1.62,-3.81,0,-15.75,3.38
203.647,7.62,8.5,11.62,6.62,6.19,15,5.25,4.38
204.122,14.62,-10.5,1.62,6.62,14.19,14,14.25,-1.62
204.598,-4.38,7.5,6.62,3.62,-0.81,4,4.25,-0.62
205.074,-10.38,-11.5,-12.38,-21.38,-19.81,-11,-9.75,-14.62
205.549,20.62,6.5,18.62,25.62,29.19,21,3.25,38.38
206.025,-12.38,-7.5,-5.38,1.62,-16.81,-17,-8.75,-7.62
206.501,-3.38,13.5,-4.38,-1.38,-0.81,9,-18.75,1.38
206.976,-12.38,-26.5,-6.38,-14.38,3.19,-21,-17.75,-0.62
207.452,8.62,-11.5,5.62,-0.38,9.19,4,9.25,0.38
207.927,0.62,-0.5,-7.38,6.62,0.19,1,-5.75,-2.62
208.402,17.62,22.5,23.62,22.62,23.19,27,29.25,17.38
208.878,-11.38,-6.5,-0.38,-11.38,-13.81,-1,-9.75,-28.62
209.353,-16.38,-29.5,-28.38,-7.38,-19.81,-47,-12.75,-15.62
209.829,5.62,16.5,17.62,16.62,18.19,20,12.25,16.38
210.304,15.62,13.5,16.62,21.62,26.19,25,11.25,1.38
210.779,-12.38,-9.5,2.62,3.62,8.19,-1,2.25,1.38
211.254,6.62,4.5,8.62,13.62,6.19,1,-17.75,17.38
211.73,18.62,11.5,2.62,14.62,7.19,13,7.25,13.38
212.205,-13.38,1.5,7.62,-0.38,4.19,14,0.25,-16.62
212.68,-0.38,5.5,6.62,-11.38,3.19,24,-3.75,-13.62
213.155,0.62,-4.5,9.62,4.62,11.19,2,-4.75,-1.62
213.63,25.62,14.5,17.62,36.62,15.19,27,33.25,39.38
214.105,3.62,15.5,14.62,13.62,15.19,7,12.25,10.38
214.58,11.62,11.5,14.62,13.62,0.19,8,-0.75,-5.62
215.055,-9.38,-20.5,-6.38,-17.38,-19.81,-20,-15.75,-10.62
215.53,12.62,4.5,-6.38,13.62,-2.81,-16,5.25,27.38
216.005,0.62,9.5,9.62,-2.38,6.19,-3,9.25,-4.62
216.48,-2.38,3.5,6.62,-2.38,1.19,2,-1.75,3.38
216.954,3.62,-11.5,1.62,2.62,-7.81,-5,-8.75,-21.62
217.429,31.62,33.5,22.62,28.62,9.19,8,22.25,22.38
217.904,10.62,2.5,-11.38,15.62,-6.81,-7,-3.75,-1.62
218.379,-3.38,5.5,20.62,5.62,4.19,7,-1.75,-18.62
218.853,-3.38,5.5,16.62,-11.38,-5.81,-14,-13.75,-6.62
219.328,-11.38,-18.5,-13.38,1.62,-20.81,-24,-10.75,-16.62
219.803,4.62,-6.5,3.62,-3.38,-5.81,-10,-2.75,-11.62
220.277,9.62,9.5,13.62,5.62,-1.81,12,6.25,-1.62
220.752,16.62,-4.5,9.62,-0.38,-2.81,-14,-9.75,-1.62
221.226,-5.38,-9.5,0.62,0.62,-12.81,-5,-6.75,-0.62
221.701,5.62,-13.5,-8.38,0.62,6.19,6,5.25,-1.62
222.175,8.62,7.5,15.62,11.62,6.19,13,19.25,9.38
222.65,-0.38,-9.5,10.62,-2.38,6.19,-10,-6.75,-4.62
223.124,0.62,-6.5,12.62,12.62,1.19,-11,-15.75,14.38
223.598,-3.38,-5.5,-5.38,-2.38,-12.81,-1,4.25,-11.62
224.073,8.62,23.5,11.62,15.62,14.19,22,14.25,22.38
224.547,14.62,13.5,13.62,16.62,26.19,4,8.25,9.38
225.021,-11.38,-17.5,-21.38,-9.38,-10.81,-25,-33.75,-25.62
225.495,11.62,8.5,6.62,12.62,-4.81,2,3.25,15.38
225.97,-3.38,3.5,-6.38,15.62,-6.81,2,11.25,-15.62
226.444,-12.38,0.5,9.62,-14.38,-11.81,-6,-22.75,-21.62
226.918,4.62,-12.5,6.62,-1.38,2.19,-17,-11.75,1.38
227.392,2.62,7.5,0.62,10.62,11.19,-4,8.25,2.38
227.866,12.62,24.5,13.62,19.62,17.19,29,25.25,3.38
228.34,-9.38,-7.5,-9.38,-6.38,-5.81,-14,-5.75,-13.62
228.814,10.62,11.5,2.62,-0.38,-4.81,5,-7.75,18.38
229.288,32.62,21.5,12.62,12.62,18.19,18,8.25,16.38
229.762,12.62,8.5,15.62,22.62,14.19,14,21.25,18.38
230.236,-8.38,-0.5,4.62,-13.38,-11.81,-12,-12.75,-10.62
230.71,-4.38,-8.5,-1.38,-13.38,-7.81,-23,-12.75,2.38
231.183,6.62,-2.5,2.62,11.62,7.19,-4,7.25,5.38
231.657,34.62,32.5,9.62,33.62,30.19,24,38.25,40.38
232.131,12.62,24.5,16.62,33.62,33.19,9,15.25,20.38
232.605,0.62,-11.5,-10.38,-12.38,-5.81,-7,-12.75,9.38
233.078,24.62,7.5,2.62,17.62,3.19,-9,2.25,17.38
233.552,19.62,26.5,14.62,27.62,9.19,21,22.25,2.38
234.026,3.62,5.5,14.62,5.62,-13.81,14,-1.75,15.38
234.499,13.62,7.5,2.62,-1.38,9.19,-19,-18.75,12.38
234.973,4.62,-2.5,-11.38,-0.38,-10.81,1,6.25,-6.62
235.446,-0.38,-7.5,-8.38,8.62,-0.81,12,-0.75,-6.62
235.92,-2.38,3.5,-0.38,0.62,0.19,0,-12.75,2.38
236.393,13.62,-1.5,22.62,-5.38,2.19,-4,-4.75,-8.62
236.867,2.62,-16.5,-20.38,-5.38,-13.81,-15,-19.75,-9.62
237.34,22.62,15.5,19.62,27.62,22.19,32,12.25,27.38
237.813,11.62,2.5,3.62,5.62,5.19,18,-8.75,13.38
238.287,9.62,-19.5,-3.38,-5.38,-2.81,-21,-8.75,-4.62
238.76,18.62,2.5,9.62,14.62,-1.81,2,-2.75,12.38
239.233,9.62,9.5,-3.38,14.62,6.19,0,13.25,-4.62
239.706,-0.38,-4.5,-6.38,-0.38,5.19,-9,-15.75,-1.62
240.179,5.62,-1.5,15.62,8.62,3.19,0,6.25,-4.62
240.653,8.62,-5.5,7.62,4.62,10.19,-5,7.25,4.38
241.126,-4.38,-10.5,-0.38,10.62,-20.81,5,3.25,-3.62
241.599,24.62,19.5,26.62,30.62,14.19,33,24.25,32.38
242.072,10.62,-5.5,2.62,-3.38,8.19,8,5.25,11.38
242.545,8.62,-17.5,7.62,-1.38,1.19,5,-1.75,-6.62
243.018,3.62,-4.5,-15.38,-6.38,8.19,-14,18.25,-10.62
243.491,9.62,28.5,3.62,20.62,8.19,11,18.25,14.38
243.964,7.62,7.5,29.62,13.62,5.19,-3,6.25,8.38
244.437,8.62,-3.5,-8.38,-5.38,-1.81,-15,0.25,6.38
244.909,-1.38,-20.5,-19.38,-11.38,-13.81,-6,-15.75,-15.62
245.382,-1.38,10.5,0.62,22.62,-0.81,18,-6.75,5.38
245.855,-10.38,-5.5,-5.38,-5.38,6.19,-10,-19.75,-17.62
246.328,-5.38,-7.5,-20.38,-3.38,-4.81,-13,-12.75,1.38
246.8,-12.38,-2.5,-4.38,-16.38,-2.81,-8,-15.75,-12.62
247.273,5.62,4.5,7.62,10.62,-2.81,-7,3.25,4.38
247.746,18.62,2.5,15.62,2.62,14.19,1,-3.75,1.38
248.218,-10.38,-12.5,-19.38,-10.38,-3.81,-20,-21.75,-21.62
248.691,-6.38,-8.5,5.62,12.62,5.19,8,6.25,2.38
249.163,8.62,19.5,-1.38,14.62,5.19,21,10.25,13.38
249.636,0.62,9.5,11.62,-0.38,-6.81,-2,4.25,-1.62
250.108,-9.38,-8.5,2.62,-3.38,2.19,-10,-4.75,-5.62
250.581,2.62,0.5,-11.38,-16.38,7.19,-12,4.25,-13.62
251.053,6.62,6.5,11.62,9.62,12.19,24,23.25,14.38
251.526,32.62,10.5,36.62,21.62,21.19,24,23.25,26.38
251.998,26.62,0.5,17.62,1.62,19.19,-3,11.25,15.38
252.47,-21.38,-25.5,-20.38,-22.38,-19.81,-23,-23.75,-26.62
252.943,18.62,4.5,-3.38,8.62,7.19,7,3.25,2.38
253.415,-7.38,-0.5,7.62,0.62,-12.81,8,-2.75,-7.62
253.887,8.62,4.5,8.62,0.62,14.19,-6,-14.75,8.38
254.359,14.62,-5.5,3.62,-8.38,1.19,7,17.25,-1.62
254.831,-6.38,6.5,6.62,16.62,-4.81,24,14.25,14.38
255.304,17.62,23.5,11.62,27.62,17.19,26,11.25,14.38
255.776,-15.38,-19.5,6.62,2.62,4.19,-32,-6.75,2.38
256.248,6.62,4.5,-1.38,-9.38,-5.81,-14,-0.75,-2.62
256.72,7.62,-2.5,-3.38,6.62,-4.81,7,8.25,-4.62
257.192,12.62,19.5,15.62,7.62,18.19,16,7.25,12.38
257.664,-2.38,6.5,8.62,1.62,5.19,-3,-0.75,11.38
258.136,-10.38,-22.5,-21.38,-6.38,-8.81,-33,-32.75,-21.62
258.607,0.62,1.5,-1.38,10.62,-2.81,-6,11.25,-0.62
259.079,3.62,7.5,-1.38,21.62,9.19,16,-2.75,4.38
259.551,-17.38,-24.5,-20.38,-26.38,-9.81,-25,-18.75,-21.62
260.023,-5.38,-20.5,-12.38,-23.38,-5.81,-14,-4.75,-12.62
260.495,-1.38,0.5,8.62,-0.38,7.19,-4,-2.75,-8.62
260.966,3.62,3.5,15.62,12.62,7.19,29,3.25,3.38
261.438,3.62,-2.5,3.62,-8.38,0.19,-16,-16.75,9.38
261.91,17.62,-17.5,-1.38,-7.38,-14.81,-16,0.25,3.38
262.381,-15.38,-19.5,-10.38,2.62,-28.81,-9,-6.75,-17.62
262.853,-8.38,15.5,-3.38,13.62,0.19,-2,2.25,2.38
263.325,12.62,5.5,1.62,6.62,5.19,0,-1.75,16.38
263.796,3.62,-8.5,7.62,-3.38,8.19,-10,14.25,-1.62
264.268,1.62,2.5,9.62,2.62,0.19,-3,-10.75,-4.62
264.739,-11.38,-4.5,-4.38,3.62,-8.81,11,-9.75,-12.62
265.21,20.62,14.5,9.62,-5.38,26.19,2,4.25,8.38
