Wavelength_(nm),Intensity290_(Counts),Intensity270_(Counts),Intensity250_(Counts),Intensity239K-150ms_(Counts),Intensity239K-50ms_(Counts),Intensity230_(Counts),Intensity210_(Counts),Intensity190_(Counts),Intensity170_(Counts),Intensity150_(Counts),Intensity130_(Counts),Intensity110_(Counts),Intensity90_(Counts),Intensity70_(Counts),Intensity50_(Counts),Intensity30_(Counts),Intensity10_(Counts),Intensity4_(Counts)
187.928,10.06,-16.75,-4.19,5.62,-2.69,3.44,0.38,-3.5,-19.69,-7.06,-16.75,2.38,1.56,-2.25,-11.56,2.44,-7.75,-8.19
188.405,10.06,-16.75,-4.19,5.62,-2.69,3.44,0.38,-3.5,-19.69,-7.06,-16.75,2.38,1.56,-2.25,-11.56,2.44,-7.75,-8.19
188.882,10.06,-16.75,-4.19,5.62,-2.69,3.44,0.38,-3.5,-19.69,-7.06,-16.75,2.38,1.56,-2.25,-11.56,2.44,-7.75,-8.19
189.359,-9.94,-11.75,-27.19,-9.38,-1.69,-7.56,-5.62,-7.5,-3.69,-8.06,15.25,-7.62,-9.44,-8.25,-11.56,-9.56,-7.75,-16.19
189.835,8.06,10.25,33.81,14.62,24.31,21.44,5.38,23.5,14.31,31.94,22.25,8.38,15.56,12.75,5.44,-3.56,20.25,21.81
190.312,-7.94,-4.75,-1.19,1.62,11.31,-2.56,-4.62,4.5,-6.69,3.94,-0.75,2.38,1.56,1.75,-3.56,3.44,5.25,4.81
190.789,-8.94,-10.75,-19.19,-6.38,-8.69,-4.56,2.38,-5.5,-15.69,-14.06,-6.75,-10.62,-9.44,-7.25,2.44,-14.56,-14.75,-17.19
191.265,-12.94,-29.75,-15.19,-21.38,-23.69,-25.56,-17.62,-28.5,-13.69,-28.06,-16.75,-24.62,-5.44,-24.25,-24.56,-28.56,-15.75,-22.19
191.742,11.06,15.25,21.81,10.62,22.31,-0.56,11.38,12.5,9.31,18.94,0.25,3.38,1.56,12.75,10.44,8.44,9.25,9.81
192.219,-0.94,4.25,1.81,4.62,0.31,-15.56,-13.62,-0.5,2.31,0.94,-0.75,3.38,-2.44,-1.25,0.44,0.44,9.25,4.81
192.695,7.06,9.25,5.81,3.62,-3.69,-1.56,0.38,3.5,-8.69,-7.06,-3.75,13.38,12.56,5.75,6.44,-4.56,-1.75,-4.19
193.172,4.06,7.25,10.81,8.62,-1.69,9.44,30.38,6.5,20.31,0.94,-3.75,-3.62,13.56,5.75,16.44,2.44,9.25,3.81
193.648,-1.94,26.25,6.81,-12.38,-3.69,11.44,10.38,7.5,13.31,-4.06,9.25,2.38,8.56,10.75,-0.56,1.44,-4.75,8.81
194.125,12.06,9.25,1.81,19.62,15.31,21.44,1.38,11.5,4.31,1.94,-0.75,13.38,3.56,1.75,7.44,19.44,-5.75,13.81
194.601,-3.94,-14.75,-11.19,2.62,-6.69,-5.56,-14.62,-3.5,-10.69,6.94,-0.75,7.38,-8.44,-8.25,11.44,5.44,-10.75,-2.19
195.077,-6.94,-10.75,-25.19,-17.38,-24.69,-6.56,-8.62,-21.5,-7.69,-20.06,-4.75,-11.62,-18.44,-18.25,-10.56,-11.56,-3.75,-6.19
195.554,4.06,14.25,21.81,-3.38,1.31,5.44,7.38,-5.5,15.31,11.94,9.25,3.38,-1.44,7.75,18.44,13.44,10.25,15.81
196.03,-2.94,3.25,-1.19,-1.38,2.31,-2.56,-4.62,6.5,7.31,10.94,-0.75,-1.62,-3.44,10.75,-16.56,15.44,9.25,-7.19
196.506,20.06,21.25,12.81,18.62,27.31,8.44,8.38,16.5,-2.69,6.94,13.25,11.38,2.56,16.75,20.44,7.44,8.25,10.81
196.983,20.06,8.25,23.81,10.62,7.31,2.44,18.38,9.5,11.31,4.94,16.25,10.38,16.56,23.75,18.44,6.44,13.25,12.81
197.459,8.06,-8.75,11.81,-7.38,-2.69,4.44,-5.62,-2.5,4.31,-12.06,3.25,-6.62,1.56,-7.25,-1.56,-12.56,2.25,-6.19
197.935,2.06,22.25,3.81,10.62,7.31,9.44,-4.62,12.5,-0.69,11.94,5.25,3.38,-1.44,0.75,12.44,19.44,7.25,8.81
198.411,22.06,0.25,6.81,-7.38,1.31,3.44,-2.62,-4.5,-0.69,1.94,12.25,5.38,3.56,0.75,14.44,8.44,6.25,-8.19
198.887,-16.94,-15.75,-3.19,-15.38,-20.69,-18.56,-8.62,-27.5,-26.69,-30.06,-21.75,-15.62,-9.44,-9.25,-19.56,-15.56,-1.75,-27.19
199.363,-2.94,9.25,0.81,-0.38,0.31,6.44,10.38,-0.5,3.31,-16.06,10.25,9.38,2.56,4.75,-8.56,2.44,-0.75,6.81
199.839,4.06,23.25,-5.19,4.62,10.31,-6.56,2.38,12.5,7.31,4.94,-5.75,6.38,-2.44,4.75,0.44,-10.56,-17.75,-9.19
200.315,-1.94,2.25,-15.19,11.62,-8.69,-12.56,-11.62,-4.5,2.31,-0.06,-9.75,-10.62,-8.44,-6.25,-19.56,-13.56,-8.75,1.81
200.791,5.06,-2.75,-0.19,3.62,-7.69,0.44,-9.62,3.5,-4.69,-10.06,2.25,-3.62,7.56,5.75,-16.56,-20.56,8.25,-7.19
201.267,17.06,11.25,22.81,1.62,11.31,16.44,8.38,12.5,17.31,5.94,14.25,7.38,21.56,13.75,-6.56,5.44,25.25,2.81
201.743,23.06,26.25,12.81,-2.38,22.31,7.44,5.38,22.5,19.31,6.94,9.25,15.38,18.56,23.75,0.44,18.44,15.25,6.81
202.219,-11.94,-11.75,-14.19,-23.38,-26.69,-15.56,-26.62,0.5,-12.69,-12.06,-14.75,-4.62,-2.44,-9.25,-17.56,4.44,-9.75,-14.19
202.695,1.06,-4.75,-11.19,-10.38,-19.69,-7.56,-14.62,-7.5,-8.69,-24.06,-18.75,-11.62,-9.44,1.75,-10.56,-19.56,-1.75,-9.19
203.171,-0.94,-9.75,-10.19,-7.38,-4.69,-2.56,4.38,-0.5,-0.69,-7.06,-10.75,-4.62,-0.44,-10.25,-15.56,-13.56,10.25,-6.19
203.647,1.06,27.25,12.81,5.62,2.31,6.44,2.38,16.5,15.31,15.94,2.25,25.38,-1.44,25.75,9.44,19.44,7.25,4.81
204.122,9.06,16.25,-8.19,6.62,17.31,-6.56,-2.62,7.5,0.31,6.94,11.25,25.38,-4.44,6.75,13.44,12.44,2.25,19.81
204.598,7.06,-5.75,-7.19,1.62,-16.69,1.44,3.38,-4.5,6.31,-0.06,7.25,0.38,-16.44,17.75,14.44,-1.56,-8.75,-12.19
205.074,-8.94,-12.75,-9.19,-14.38,-32.69,-8.56,-12.62,-23.5,-13.69,-17.06,-13.75,-34.62,-19.44,-32.25,-19.56,-16.56,-20.75,-10.19
205.549,20.06,31.25,19.81,22.62,8.31,27.44,19.38,31.5,14.31,10.94,0.25,31.38,10.56,13.75,14.44,16.44,0.25,-0.19
206.025,-20.94,-2.75,-6.19,-13.38,-11.69,-13.56,-24.62,-8.5,-10.69,-13.06,-12.75,5.38,-1.44,-14.25,-2.56,-15.56,-18.75,-6.19
206.501,-1.94,-3.75,0.81,-3.38,-15.69,-13.56,-16.62,-13.5,-7.69,-8.06,4.25,-3.62,-8.44,6.75,-8.56,7.44,8.25,-3.19
206.976,-4.94,-16.75,-8.19,-29.38,-29.69,-7.56,-18.62,-6.5,-17.69,-11.06,-13.75,-17.62,-15.44,-2.25,-1.56,-18.56,-3.75,-32.19
207.452,0.06,18.25,4.81,14.62,9.31,-4.56,-10.62,1.5,6.31,10.94,-5.75,3.38,1.56,3.75,-1.56,3.44,3.25,-6.19
207.927,2.06,3.25,1.81,0.62,1.31,1.44,-1.62,1.5,6.31,0.94,-4.75,20.38,-9.44,-5.25,-9.56,-1.56,-3.75,10.81
208.402,38.06,20.25,17.81,2.62,21.31,20.44,31.38,24.5,28.31,12.94,9.25,27.38,29.56,23.75,26.44,14.44,20.25,12.81
208.878,-2.94,2.25,-10.19,-15.38,-10.69,7.44,-14.62,-10.5,3.31,-9.06,-12.75,-5.62,6.56,5.75,-21.56,-14.56,-0.75,-28.19
209.353,-11.94,-5.75,-23.19,-25.38,-11.69,-29.56,-19.62,-13.5,-17.69,-10.06,-18.75,-12.62,-11.44,-22.25,-11.56,-14.56,-26.75,-18.19
209.829,13.06,22.25,14.81,8.62,12.31,10.44,6.38,13.5,4.31,5.94,19.25,11.38,15.56,18.75,27.44,21.44,14.25,26.81
210.304,25.06,20.25,7.81,19.62,15.31,6.44,-0.62,8.5,18.31,12.94,11.25,29.38,16.56,18.75,30.44,14.44,19.25,2.81
210.779,4.06,-7.75,-13.19,-3.38,4.31,0.44,8.38,9.5,-8.69,-3.06,-3.75,0.38,-4.44,-6.25,-0.56,-4.56,5.25,-9.19
211.254,17.06,10.25,25.81,6.62,9.31,2.44,-4.62,11.5,9.31,11.94,7.25,10.38,9.56,3.75,4.44,16.44,9.25,4.81
211.73,23.06,30.25,22.81,15.62,22.31,8.44,8.38,10.5,8.31,15.94,-3.75,11.38,3.56,5.75,18.44,19.44,12.25,9.81
212.205,-0.94,8.25,-5.19,-0.38,-6.69,-11.56,1.38,-5.5,-17.69,3.94,-4.75,11.38,13.56,16.75,9.44,2.44,-11.75,-16.19
212.68,5.06,3.25,-5.19,-7.38,9.31,-1.56,7.38,2.5,-12.69,12.94,-0.75,-1.62,3.56,7.75,2.44,-0.56,7.25,8.81
213.155,7.06,10.25,15.81,-7.38,10.31,-2.56,6.38,10.5,17.31,5.94,9.25,0.38,-12.44,-4.25,1.44,16.44,6.25,10.81
213.63,18.06,32.25,24.81,15.62,32.31,19.44,26.38,42.5,17.31,40.94,33.25,24.38,21.56,26.75,30.44,33.44,39.25,26.81
