Wavelength_(nm),Intensity4_(Counts),Intensity10_(Counts),Intensity30_(Counts),Intensity50_(Counts),Intensity70_(Counts),Intensity90_(Counts),Intensity110_(Counts),Intensity130_(Counts),
187.928,4.62,7.5,-8.38,3.62,4.19,-3,1.25,-4.62,-2.3
188.405,0.37,3.75,-7.63,1.62,0.69,-3.5,-0.25,-7.87,-1.05
188.882,4.82,5.1,-3.38,3.42,3.19,1.2,1.25,-1.62,-0.38
189.359,5.62,0.9,-5.38,3.62,-0.21,1.4,0.05,-0.02,-0.22
189.835,1.22,-2.3,-7.18,1.02,-2.61,0.8,0.65,-2.02,0.94
190.312,-4.98,-6.9,-6.98,-5.18,-7.01,0.8,-4.15,-5.22,0.02
190.789,0.42,-4.9,-2.38,-1.78,-4.41,0.8,0.05,0.78,-1.26
191.265,-6.78,-5.1,-5.98,-1.78,-7.41,-5.4,-0.95,-1.42,-1.98
191.742,-10.98,-1.3,-1.78,-3.18,-5.61,-3.2,-0.75,-1.42,-0.26
192.219,-6.18,1.9,2.22,1.22,-0.01,1.4,-0.35,2.18,0.62
192.695,1.82,6.7,5.82,6.02,3.19,4.2,4.85,7.98,2.34
193.172,4.22,8.1,2.22,6.82,1.19,4.8,2.85,8.78,3.1
193.648,7.42,6.5,1.02,2.62,1.59,5.8,1.25,3.98,2.9
194.125,7.02,2.7,1.02,-0.78,3.99,0.2,0.45,-0.22,1.22
194.601,6.42,2.7,5.02,-4.38,2.79,-2.4,-0.15,-1.22,-0.22
195.077,2.22,-1.3,2.82,-1.58,2.99,-4.4,-0.95,-1.82,-1.02
195.554,0.62,1.1,3.62,-0.38,6.59,-2,3.25,-2.42,-0.06
196.03,3.22,5.7,7.22,7.02,11.99,2.8,7.85,3.78,2.1
196.506,5.82,6.9,7.22,9.02,10.99,2.8,9.25,5.38,3.86
196.983,9.42,7.1,4.02,11.82,10.79,2.8,7.25,9.18,3.66
197.459,11.82,9.1,5.42,12.42,12.39,2.2,7.25,6.38,2.54
197.935,7.02,3.3,4.62,4.22,9.19,-2.2,-1.35,1.98,1.26
198.411,5.02,-0.7,4.82,-0.18,3.19,-9.6,-7.15,-0.82,-1.42
198.887,4.02,0.1,3.22,1.62,-0.81,-5.6,-8.15,1.98,-3.34
199.363,-0.58,-2.9,0.02,-1.38,-2.61,-8.4,-6.75,-3.62,-1.9
199.839,-4.18,-1.9,-0.38,-4.98,-5.81,-7,-6.55,-2.42,0.86
200.315,3.22,1.5,4.62,0.42,-2.21,-2.2,-0.95,3.78,2.54
200.791,7.02,2.3,3.42,3.62,0.59,2,5.05,5.38,4.78
201.267,8.62,0.9,2.22,2.02,1.79,0.2,6.25,2.58,6.54
201.743,8.62,2.3,2.22,0.82,3.59,-0.2,3.85,2.78,6.86
202.219,10.42,-0.3,-0.98,2.02,4.59,-1.2,0.65,3.98,5.66
202.695,5.62,-0.5,-3.58,1.62,3.19,-0.6,-0.75,0.38,4.74
203.171,3.62,-4.3,-3.78,-1.18,3.79,1.8,-1.55,-2.62,3.3
203.647,2.42,-0.7,-0.18,1.22,5.79,4.2,-0.75,-0.82,3.3
204.122,0.62,-3.1,-0.78,-0.58,-0.81,4.4,-0.35,-1.82,2.14
204.598,5.62,0.1,5.22,4.22,5.79,8.6,3.45,5.18,0.74
205.074,1.62,-3.1,1.82,3.22,1.19,2.2,0.65,2.78,-0.54
205.549,-1.98,1.7,0.62,1.62,-1.81,1.2,-5.95,3.38,-0.18
206.025,-3.58,-5.1,-1.98,-1.98,-1.01,-3.8,-10.35,3.38,-2.3
206.501,0.22,-5.1,1.62,2.22,4.79,-0.8,-6.55,6.38,-2.1
206.976,-3.78,-6.5,-3.58,-1.58,-1.01,-4.8,-8.35,-1.82,-0.94
207.452,2.22,-0.5,2.22,2.62,6.99,4,-0.75,3.18,0.02
207.927,0.62,-4.5,3.02,0.62,4.39,2,1.05,-2.82,0.46
208.402,-0.18,-5.1,-1.38,2.02,-0.21,-3.2,2.05,-5.82,2.38
208.878,-0.78,0.5,1.02,5.42,1.59,0,2.65,-2.62,2.38
209.353,2.22,3.3,5.82,8.42,6.79,4.8,6.05,-1.82,3.14
209.829,-3.78,-3.1,1.62,4.62,3.79,-0.8,0.65,-5.02,5.14
210.304,-0.18,-0.9,3.42,9.62,7.79,-0.4,-0.95,4.18,5.9
210.779,6.82,7.3,9.62,14.02,13.19,11.6,3.05,9.98,6.14
211.254,3.02,4.3,7.62,10.62,10.39,10.4,0.65,3.38,7.02
211.73,-0.18,2.7,5.62,4.02,5.79,10.2,-2.35,0.38,8.26
212.205,2.42,3.7,7.02,4.22,6.39,10.8,-3.75,-0.22,8.62
212.68,6.22,5.7,8.82,8.82,8.19,16,6.45,4.18,10.54
213.155,3.22,6.5,11.22,8.62,9.79,14.8,7.45,3.58,12.38
213.63,8.22,8.5,12.62,11.42,8.99,13.6,7.25,5.78,14.02
214.105,6.42,3.3,10.02,10.22,4.39,4.8,4.85,6.38,12.62
214.58,8.82,5.1,6.82,12.02,1.59,1.2,6.85,12.18,10.42
215.055,3.82,4.1,5.22,4.22,-0.21,-4.8,2.05,3.38,6.82
215.53,2.62,1.7,3.62,1.02,-3.01,-5.8,-0.75,1.98,4.58
216.005,1.02,-2.9,1.02,-1.18,-4.61,-8.4,-2.35,-1.22,2.62
216.48,9.22,7.9,6.82,8.02,1.19,-2.8,5.25,5.38,2.18
216.954,8.82,7.5,5.82,8.42,0.39,-1,3.45,-0.42,1.98
217.429,8.02,6.7,8.02,10.02,-0.01,1,1.25,-3.22,1.86
217.904,7.82,7.1,10.02,8.22,-1.41,-2.2,-1.15,-5.22,-0.34
218.379,4.82,5.7,7.02,8.02,-4.01,-6,-1.55,-4.22,-3.06
218.853,-0.58,-2.3,3.22,1.62,-7.01,-9.6,-6.55,-11.02,-5.26
219.328,-0.78,-0.9,8.22,-0.38,-6.01,-5.8,-4.55,-11.02,-7.06
219.803,3.22,-2.9,6.02,-1.58,-7.41,-10,-6.15,-7.62,-7.94
220.277,2.82,-5.9,2.82,0.82,-8.81,-8.2,-4.75,-6.42,-7.18
220.752,6.22,-4.9,3.82,0.62,-3.41,-2.2,-1.55,-3.42,-6.86
221.226,7.02,-2.1,6.22,3.62,-1.01,2.4,2.85,0.78,-6.82
221.701,5.02,-5.9,5.62,2.02,0.59,-2,0.25,0.18,-5.5
222.175,1.82,-6.3,6.22,4.62,1.39,-1.4,-0.95,3.38,-4.3
222.65,2.22,-5.5,5.02,4.02,1.39,-0.6,1.25,1.18,-3.5
223.124,2.82,1.9,9.02,7.02,2.99,2.6,3.05,5.98,-1.94
223.598,4.02,3.1,8.62,8.02,6.99,0.8,0.85,5.98,0.34
224.073,1.82,1.5,2.22,6.62,3.59,-2.2,-4.55,1.78,1.1
224.547,4.02,4.5,1.02,6.62,2.39,0.4,-0.75,1.98,0.78
225.021,4.02,6.3,0.82,10.22,3.59,1,0.65,1.18,-0.74
225.495,-0.18,1.7,0.42,4.22,-1.61,-4.6,-6.75,-7.62,-1.26
225.97,-2.18,-3.5,-0.98,0.62,-6.41,-8.8,-10.75,-9.22,-2.62
226.444,0.62,1.5,3.42,4.62,-2.01,-4.6,-2.35,-3.62,-3.78
226.918,0.82,4.7,4.82,6.02,2.39,0.8,2.05,-6.02,-3.46
227.392,-0.38,2.5,4.22,1.62,2.59,-2.4,-1.35,-5.62,-0.58
227.866,4.22,4.7,2.82,4.42,3.99,-0.2,1.65,2.38,2.18
228.34,9.82,11.5,4.02,7.22,7.19,6.8,5.65,5.38,4.18
228.814,11.82,11.7,7.02,9.62,7.79,10.4,8.25,8.58,5.9
229.288,7.62,6.7,5.22,3.02,1.99,2.2,0.65,5.78,7.18
229.762,8.62,6.5,6.82,1.62,1.59,0.4,-0.75,8.98,7.14
230.236,7.82,3.7,6.82,4.02,3.99,-1.4,2.25,6.38,6.02
230.71,8.22,5.9,6.22,8.22,6.39,-0.2,8.25,11.18,6.14
231.183,8.22,9.1,6.42,10.42,10.19,-1.2,7.05,11.58,7.42
231.657,10.02,6.9,3.42,10.62,11.39,-0.2,7.05,15.58,9.02
232.131,15.82,10.1,4.22,16.82,13.59,2.6,10.05,18.58,8.54
232.605,18.42,15.9,6.62,20.02,13.99,7.6,13.05,17.98,7.86
233.078,12.22,10.5,7.62,14.42,5.19,5.6,5.05,12.98,7.46
233.552,12.42,7.1,4.82,7.42,0.39,0,-1.75,11.38,5.94
234.026,13.22,8.9,4.62,9.82,-0.61,1.6,2.05,8.18,3.42
234.499,8.22,5.9,2.42,8.02,-1.41,5.8,1.45,3.38,3.26
234.973,3.82,1.3,-0.58,2.62,-3.21,1.6,-5.55,3.38,3.06
235.446,5.82,-0.1,1.02,0.42,-0.01,-2,-6.15,-1.42,3.22
235.92,3.62,-4.9,-3.58,-0.38,-4.61,-1.2,-6.35,-5.82,3.54
236.393,7.22,-1.3,2.62,5.22,1.99,5,-5.15,0.98,3.54
236.867,9.62,0.7,5.02,4.62,3.19,6.2,-6.75,4.98,2.82
237.34,12.02,-3.9,4.42,3.42,2.59,2,-5.95,3.58,3.5
237.813,13.02,-3.1,1.82,7.42,1.79,3.2,-5.55,7.78,1.98
238.287,14.42,2.1,5.22,11.42,5.79,6.2,1.05,8.78,1.3
238.76,9.82,-1.9,0.02,5.82,2.39,-2,-4.55,2.98,1.94
239.233,8.62,-2.7,2.42,6.42,1.99,-5.6,-1.55,-0.62,2.98
239.706,8.42,0.1,4.62,8.42,4.59,-2.4,1.65,1.18,3.22
240.179,3.82,-2.5,2.62,7.62,0.79,-1.8,2.85,-2.02,4.94
240.653,6.82,-0.5,8.62,10.82,2.39,4.8,5.05,5.38,5.66
241.126,9.02,-0.7,10.42,10.22,2.99,8.2,9.25,7.98,6.22
241.599,9.62,-3.9,8.82,8.22,2.59,9.2,7.65,7.58,7.02
242.072,8.62,-3.7,4.22,6.02,2.19,7.4,9.85,4.58,7.98
242.545,11.42,4.1,5.02,8.02,7.99,8.6,12.85,8.18,8.14
243.018,8.02,1.7,5.62,4.62,6.19,1.4,9.25,3.38,8.46
243.491,7.62,2.1,3.42,4.22,4.19,-3.2,8.25,2.38,8.26
243.964,5.62,1.5,-1.98,2.22,1.19,-5.4,5.45,0.58,6.66
244.437,4.62,4.5,1.22,8.02,-0.61,1,0.45,3.78,3.94
244.909,0.62,-2.3,-0.58,2.82,-1.01,-3.2,-7.15,-2.62,2.3
245.382,-1.98,-5.3,-10.58,-0.58,-3.01,-5.2,-10.95,-4.02,1.62
245.855,-6.18,-5.1,-9.78,-2.78,-3.21,-3.8,-14.15,-7.82,0.86
246.328,-4.78,-0.1,-4.38,1.62,-1.01,-4,-10.35,-3.82,1.22
246.8,-0.78,-1.7,-1.38,-2.38,1.99,-7.4,-9.75,-4.62,3.14
247.273,-0.78,-3.1,-4.18,-3.38,-0.01,-9.4,-10.15,-5.42,5.02
247.746,-0.98,-3.3,1.02,-0.18,1.99,-5.2,-6.35,-5.22,5.9
248.218,3.22,1.1,1.62,6.02,3.59,0.6,-1.15,-0.02,6.38
248.691,2.22,2.1,2.42,3.82,2.79,1.6,-0.95,-1.22,6.9
249.163,-3.38,-0.1,-0.18,2.62,0.39,-0.6,-1.15,-2.62,6.7
249.636,-0.78,2.5,1.42,1.42,2.59,1,4.05,-1.02,5.98
