Wavelength_(nm),Intensity290_(Counts),Intensity270_(Counts),Intensity250_(Counts),Intensity239K-150ms_(Counts),Intensity239K-50ms_(Counts),Intensity230_(Counts),Intensity210_(Counts),Intensity190_(Counts),Intensity170_(Counts),Intensity150_(Counts),Intensity130_(Counts),Intensity110_(Counts),Intensity90_(Counts),Intensity70_(Counts),Intensity50_(Counts),Intensity30_(Counts),Intensity10_(Counts),Intensity4_(Counts)
187.928,10.06,-16.75,-4.19,5.62,-2.69,3.44,0.38,-3.5,-19.69,-7.06,-16.75,2.38,1.56,-2.25,-11.56,2.44,-7.75,-8.19
188.405,5.06,-15.5,-9.94,1.87,-2.44,0.69,-1.12,-4.5,-15.69,-7.31,-8.75,-0.12,-1.19,-3.75,-11.56,-0.56,-7.75,-10.19
188.882,5.66,-10.35,-1.19,4.42,2.91,4.84,0.18,1.1,-9.69,0.54,-2.55,1.58,2.16,-0.45,-8.16,-1.16,-2.15,-3.79
189.359,2.06,-7.95,-0.59,3.62,5.71,3.64,-0.82,2.7,-7.09,2.74,0.65,1.58,2.16,0.35,-6.56,-0.96,0.45,-1.19
189.835,-1.74,-6.75,-3.59,1.22,4.51,2.04,-0.42,2.3,-6.29,1.34,2.65,-1.02,-0.04,-0.65,-3.76,-4.36,-0.95,-2.99
190.312,-6.34,-9.35,-5.79,-4.18,0.31,-3.76,-4.02,-2.7,-5.09,-2.86,2.65,-6.42,-1.44,-5.05,-6.36,-10.56,-2.55,-5.79
190.789,-2.14,-3.95,4.01,-0.18,5.11,-2.36,-0.62,1.3,-2.49,2.54,-0.35,-4.22,0.76,-0.85,-1.96,-6.96,0.85,-0.59
191.265,-3.94,-5.15,-2.39,-2.18,0.31,-9.76,-4.42,-3.5,-4.89,-3.66,-4.95,-5.22,-2.84,-3.65,-2.96,-6.16,-1.35,-3.99
191.742,-0.94,-2.35,-0.99,-1.78,-2.69,-9.56,-3.42,-3.7,-5.29,-5.86,-5.55,-3.02,-0.64,-2.85,-0.96,-7.76,-2.75,-5.79
192.219,1.66,1.25,5.01,1.22,-1.29,-6.76,2.18,-1.3,1.91,-2.86,-4.95,-1.62,3.96,-0.25,1.84,-4.36,2.05,-1.59
192.695,3.86,12.45,9.41,3.02,2.71,0.64,7.78,5.9,7.31,1.94,0.25,3.78,6.76,6.75,6.64,1.64,4.25,4.61
193.172,4.06,11.25,5.41,4.82,1.31,5.04,5.78,5.7,6.31,-1.46,0.05,5.78,7.16,4.55,6.04,3.84,1.25,5.41
193.648,3.46,7.45,2.81,4.42,-0.09,7.04,5.58,5.1,3.71,-0.26,0.05,6.58,5.96,3.15,8.24,4.84,-2.75,4.01
